Current_Chord,Next_Chord,Count,Probability
1m7,6m7b5,4,0.026143790849673203
1m7,47sus,4,0.026143790849673203
1m7,b2maj7,3,0.0196078431372549
1m7,2m7b5,3,0.0196078431372549
1m7,27,3,0.0196078431372549
1m7,7m7,2,0.013071895424836602
1m7,57#5,2,0.013071895424836602
1m7,1m7(Bb7),2,0.013071895424836602
1m7,57sus,2,0.013071895424836602
1m7,3m7b5,2,0.013071895424836602
1m7,b27#9,2,0.013071895424836602
1m7,17,2,0.013071895424836602
1m7,17b9,2,0.013071895424836602
1m7,57b9,1,0.006535947712418301
1m7,b2maj7#11,1,0.006535947712418301
1m7,16,1,0.006535947712418301
1m7,b6maj7#11,1,0.006535947712418301
1m7,27#5#9,1,0.006535947712418301
1m7,1maj7,1,0.006535947712418301
1m7,b76,1,0.006535947712418301
1m7,4m6,1,0.006535947712418301
1m7,b37,1,0.006535947712418301
1m7,#4maj7,1,0.006535947712418301
1m7,57#9,1,0.006535947712418301
1m7,37#9,1,0.006535947712418301
1m7,b3m7,1,0.006535947712418301
1m7,5m,1,0.006535947712418301
1m7,17sus,1,0.006535947712418301
1m7,47b5,1,0.006535947712418301
1m7(Abm7),b67(F7),2,1.0
1m7(Bb7),2m7,2,1.0
1m7(Bbm7),47(Eb7),2,1.0
1m7b5,4m7b5,1,1.0
1m9,1maj9,4,0.5714285714285714
1m9,413,2,0.2857142857142857
1m9,b7m9,1,0.14285714285714285
1maj7,6m7,247,0.10641964670400689
1maj7,2m7,245,0.1055579491598449
1maj7,67,160,0.06893580353295993
1maj7,5m7,131,0.05644118914261095
1maj7,47,123,0.05299439896596295
1maj7,3m7,99,0.04265402843601896
1maj7,17,91,0.03920723825937096
1maj7,7m7b5,83,0.03576044808272297
1maj7,4maj7,82,0.03532959931064197
1maj7,b207,76,0.03274450667815597
1maj7,b307,66,0.02843601895734597
1maj7,57,53,0.022834984920292976
1maj7,16,45,0.01938819474364498
1maj7,3m7b5,39,0.01680310211115898
1maj7,37,36,0.015510555794915984
1maj7,#4m7b5,35,0.015079707022834985
1maj7,27,35,0.015079707022834985
1maj7,b77,34,0.014648858250753986
1maj7,7m7,33,0.014218009478672985
1maj7,4m7,32,0.013787160706591986
1maj7,1m7,29,0.012494614390348987
1maj7,47#11,28,0.012063765618267988
1maj7,67b9,25,0.010771219302024989
1maj7,57sus,24,0.01034037052994399
1maj7,57#5,24,0.01034037052994399
1maj7,b37,21,0.00904782421370099
1maj7,b3m7,19,0.008186126669538992
1maj7,b7maj7,18,0.007755277897457992
1maj7,#4m7,18,0.007755277897457992
1maj7,37b9,17,0.007324429125376993
1maj7,77,15,0.006462731581214994
1maj7,2m7b5,15,0.006462731581214994
1maj7,67b13,13,0.005601034037052995
1maj7,b27#11,12,0.005170185264971995
1maj7,b2maj7,12,0.005170185264971995
1maj7,#47#11,11,0.004739336492890996
1maj7,4m,10,0.004308487720809996
1maj7,#47,10,0.004308487720809996
1maj7,b7m7,10,0.004308487720809996
1maj7,b67,10,0.004308487720809996
1maj7,27#11,10,0.004308487720809996
1maj7,77#5,9,0.003877638948728996
1maj7,37b13,9,0.003877638948728996
1maj7,b77#11,8,0.0034467901766479965
1maj7,1Maj,8,0.0034467901766479965
1maj7,b2m7,7,0.003015941404566997
1maj7,46,7,0.003015941404566997
1maj7,67#9,7,0.003015941404566997
1maj7,107,6,0.0025850926324859974
1maj7,4m6,6,0.0025850926324859974
1maj7,57b9,6,0.0025850926324859974
1maj7,17#5,5,0.002154243860404998
1maj7,b27,5,0.002154243860404998
1maj7,6m,4,0.0017233950883239983
1maj7,4maj7#11,4,0.0017233950883239983
1maj7,b6maj7,3,0.0012925463162429987
1maj7,b2maj7#11,3,0.0012925463162429987
1maj7,1maj7#5,3,0.0012925463162429987
